name,gpu_mark_1,gpu_mark_2,gpu_mark_3,gpu_mark_4
AMD Radeon 620,1730.0,,1730.0,
AMD Radeon R7 M260,1067.0,1897.0,1067.0,7810.0
AMD Radeon 520,1319.0,2016.5,1319.0,6492.0
AMD Radeon RX Vega 6 (Ryzen 2000/3000),2245.0,2991.0,2245.0,12132.0
Intel UHD Graphics G1 (Ice Lake 32 EU),1521.0,2127.0,1521.0,10955.0
Intel UHD Graphics Xe 16EUs (Tiger Lake-H),1368.0,1679.0,1368.0,12803.0
Intel UHD Graphics G7 (Lakefield GT2 64 EU),1295.5,1791.5,1295.5,
AMD Radeon R5 (Bristol Ridge),1283.5,1720.0,1283.5,6816.5
Intel HD Graphics 620,934.0,1508.5,934.0,8449.0
AMD Radeon R6 (Kaveri),770.5,1184.0,770.5,5989.0
AMD Radeon HD 8730M,1150.0,1370.5,1150.0,8620.0
AMD Radeon HD 8650G + HD 8670M Dual Graphics,845.0,2398.0,845.0,5716.0
AMD Radeon HD 7660G + HD 7670M Dual Graphics,875.0,2112.0,875.0,7935.0
AMD Radeon HD 8670M,829.0,1396.0,829.0,4670.0
AMD Radeon HD 8650G,905.0,1433.0,905.0,6732.5
AMD Radeon HD 6620G + HD 7670M Dual Graphics,777.0,1600.0,777.0,7083.0
NVIDIA GeForce GT 630M,719.0,1035.0,719.0,8610.0
AMD Radeon R5 M330,922.0,1689.0,922.0,5972.0
AMD Radeon R5 M255,1080.5,1784.0,1080.5,8935.0
NVIDIA GeForce 910M,1022.0,1413.0,1022.0,6741.0
Intel HD Graphics 520,803.5,1293.5,803.5,8656.0
NVIDIA GeForce GT 720M,822.0,1213.0,822.0,7896.0
AMD Radeon R5 M230,771.0,1175.0,771.0,5145.0
AMD Radeon R5 (Stoney Ridge),772.0,1264.0,772.0,5174.0
AMD Radeon HD 8570M,790.0,1255.0,790.0,5650.0
NVIDIA Quadro K610M,755.5,1143.5,755.5,8157.0
Intel HD Graphics 4600,635.5,910.5,635.5,7362.0
Qualcomm Adreno 630,821.0,,821.0,
AMD Radeon R5 (Carrizo),1001.0,1711.0,1001.0,
Intel UHD Graphics 615,842.5,1221.0,842.5,6601.5
AMD Radeon R5 (Kaveri),572.0,901.0,572.0,4317.0
Intel HD Graphics 5000,715.5,1033.5,715.5,5940.0
ATI Mobility Radeon HD 5650,730.0,855.5,730.0,6469.0
NVIDIA GeForce GT 620M,737.5,933.5,737.5,7462.0
AMD Radeon HD 7610M,605.0,749.0,605.0,7100.0
Intel HD Graphics 515,691.5,1014.0,691.5,6446.0
Intel HD Graphics 610,607.5,880.0,607.5,6386.5
AMD Radeon HD 8610G,475.0,889.0,475.0,3538.0
NVIDIA NVS 5200M,704.0,1008.0,704.0,7502.5
Intel UHD Graphics (Jasper Lake 16 EU),653.0,865.0,653.0,6457.0
Intel HD Graphics 505,408.0,620.0,408.0,4302.5
Intel HD Graphics 4000,480.0,523.0,480.0,4412.5
AMD Radeon R5 (Beema/Carrizo-L),539.0,764.0,539.0,4956.0
AMD Radeon R4 (Kaveri),433.5,611.0,433.5,3179.0
AMD Radeon R2 (Stoney Ridge),511.5,730.5,511.5,3809.0
Intel HD Graphics 4200,431.5,638.0,431.5,3383.0
AMD Radeon HD 8450G,464.5,724.0,464.5,3868.0
AMD Radeon HD 8350G,388.0,624.0,388.0,5139.0
Intel UHD Graphics 600,434.5,578.5,434.5,3960.0
Intel HD Graphics 405 (Braswell),254.5,473.0,254.5,2920.0
Intel HD Graphics 400 (Braswell),218.0,349.0,218.0,2474.0
Intel HD Graphics (Haswell),362.5,484.0,362.5,3357.5
AMD Radeon R2 (Mullins/Beema/Carrizo-L),373.0,397.0,373.0,3242.0
AMD Radeon HD 8240,292.5,427.5,292.5,2636.0
Intel HD Graphics (Cherry Trail),225.0,298.0,225.0,2595.0
Intel HD Graphics 2500,318.0,350.5,318.0,3816.0
Intel HD Graphics (Bay Trail),149.0,186.5,149.0,1866.0
AMD Radeon HD 7310,192.0,260.0,192.0,1458.5
NVIDIA Quadro T2000 (Laptop),,13523.5,,
AMD Radeon HD 7970M Crossfire,,11119.0,,27647.0
NVIDIA GeForce GTX 680MX,,6736.0,,
NVIDIA GeForce GTX 675M SLI,,6407.0,,
NVIDIA GeForce GTX 775M,,6071.0,,
AMD Radeon R9 M390,,6819.0,,25800.0
NVIDIA GeForce GTX 670MX SLI,,7042.0,,23606.0
AMD Radeon HD 6990M Crossfire,,6422.0,,23292.0
NVIDIA GeForce GTX 485M SLI,,5334.0,,23415.0
NVIDIA GeForce GTX 470M SLI,,4070.0,,20607.5
NVIDIA GeForce GTX 560M SLI,,3616.0,,21388.5
AMD Radeon HD 6990M,,3227.0,,21082.0
NVIDIA GeForce GTX 460M SLI,,3313.0,,18583.0
NVIDIA Quadro 5010M,,2693.0,,19036.0
NVIDIA Quadro K3000M,,2427.0,,17037.5
NVIDIA Quadro 4000M,,2092.0,,17727.0
NVIDIA GeForce GTX 480M,,2184.5,,15066.5
AMD Radeon HD 7770M,,2110.0,,
NVIDIA Quadro 3000M,,1539.0,,14220.5
Qualcomm Adreno 680,,1935.5,,
AMD FirePro M5950,,1350.0,,10592.0
AMD Radeon HD 6770M,,1328.0,,10056.0
NVIDIA GeForce GT 555M,,1146.0,,10568.0
NVIDIA Quadro 2000M,,1261.0,,11656.0
AMD Radeon HD 6755G2,,1529.0,,7377.0
NVIDIA Quadro K1000M,,1102.0,,8340.5
AMD Radeon HD 6740G2,,1597.0,,6753.5
AMD Radeon HD 6570M,,1067.0,,7553.0
AMD Radeon HD 7520G + HD 7670M Dual Graphics,,1621.0,,7282.0
NVIDIA Quadro 1000M,,943.0,,8509.0
AMD Radeon HD 6720G2,,1456.5,,6186.0
AMD Radeon HD 6650M,,1037.0,,7307.0
NVIDIA GeForce GT 435M,,799.0,,7510.5
AMD Radeon HD 6630M,,877.0,,6934.0
AMD FirePro M2000,,841.0,,6086.0
